Root density percentile,H2 Microbial biomass (mgC/kgsoil),H1 Microbial biomass (mgC/kgsoil),rootdensity (mm/gsoil),H2 Labile Decomp rate (year-1),H2 Resistant Decomp rate (year-1),H1 Labile Decomp rate (year-1),H1 Resistant Decomp rate (year-1)
0.05,24.438900159820935,15.268753182317012,0.0,12.90289218268885,0.10889311020890398,1.8237121060537944,0.07108141976569578
0.15,24.438900159820935,15.268753182317012,0.0,12.90289218268885,0.10889311020890398,1.8237121060537944,0.07108141976569578
0.25,34.43503445734299,21.698028966147064,0.371794924677233,12.881881331774293,0.14432217460503413,2.504736076013714,0.09732042211389522
0.35,60.65195890228651,41.10919371534081,1.367490016030955,12.825181384804072,0.21594832144425136,4.2036328389957305,0.16252694032681209
0.44999999999999996,138.83709866666177,110.43204860710001,4.394151614666962,12.772045071809076,0.32676449690506937,7.487712483014885,0.2870009593203158
0.5499999999999999,328.0282494170742,294.3754997798951,11.782004965020134,12.745389114850727,0.4113632780181721,10.142762400191456,0.38608817859089106
0.65,570.399564148044,533.6665035583953,21.2639946394033,12.736701026161542,0.44443174930972507,11.128632794201083,0.4225264891296506
0.75,1061.2914776018742,1019.291935445436,40.47482184703723,12.731189300979338,0.466879143930342,11.771217104393491,0.44617288740630023
0.85,1497.1987117266117,1450.6370320513886,57.534671569927866,12.7293167310852,0.47475932767515494,11.991300172604284,0.4542528165459839
0.95,3315.1379436509696,3249.5444969991004,128.68186923801562,12.726815798591508,0.4854755051801053,12.28592482928581,0.465054280769864
